policy;seed;type;instance;nnodes;nlps;stime;gap;status;ndomchgs;ncutoffs;walltime;proctime;objval;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_1.lp;2904;3556;60.25;0.0;optimal;313;0;61.66935646161437;61.192256910000005;226.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_2.lp;51;186;10.38;0.0;optimal;64;0;10.557524969801307;10.548186319000003;158.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_3.lp;4725;5799;105.41;0.0;optimal;500;0;109.09170282818377;106.770173786;205.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_4.lp;12493;14573;235.51;0.0;optimal;576;0;240.33537609688938;238.885382198;225.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_5.lp;707;1088;35.07;0.0;optimal;235;1;35.875354604795575;35.67119100100001;218.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_6.lp;207;439;24.49;0.0;optimal;145;0;24.772708758711815;24.722729088999984;212.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_7.lp;683;990;30.25;0.0;optimal;222;0;31.117318216711283;30.608114806999993;197.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_8.lp;7164;8613;141.54;0.0;optimal;640;1;145.4948525838554;143.73798793099996;221.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_9.lp;2451;3108;53.67;0.0;optimal;385;0;54.77070217579603;54.52537368399999;199.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_10.lp;603;954;32.95;0.0;optimal;272;0;33.725725810974836;33.32509411199999;211.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_11.lp;125;333;17.59;0.0;optimal;117;0;17.882145784795284;17.780816639000022;184.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_12.lp;585;893;28.78;0.0;optimal;232;0;29.289961548522115;29.17386973100008;201.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_13.lp;487;749;26.79;0.0;optimal;199;0;27.175818864256144;27.17393181;204.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_14.lp;71;233;15.86;0.0;optimal;81;0;16.047814197838306;16.04561261999993;179.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_15.lp;469;788;30.25;0.0;optimal;228;0;30.611049883067608;30.610266894999995;240.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_16.lp;226;467;20.67;0.0;optimal;166;1;21.037535347044468;21.037480180999978;216.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_17.lp;224;485;22.21;0.0;optimal;168;1;22.47908428683877;22.47818095399998;197.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_18.lp;8136;9628;135.13;0.0;optimal;488;0;137.52553990855813;137.51850789100013;210.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_19.lp;1781;2447;50.79;0.0;optimal;381;0;51.6010964140296;51.599281051999924;225.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_20.lp;7323;8538;134.6;0.0;optimal;418;1;136.9456049092114;136.93568188200015;206.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_21.lp;5125;6248;99.23;0.0;optimal;540;0;100.92219552211463;100.91801620899992;192.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_22.lp;3955;4948;94.17;0.0;optimal;458;0;95.7619999833405;95.75469487800001;202.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_23.lp;185;422;18.31;0.0;optimal;154;0;18.572617705911398;18.57204612999999;206.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_24.lp;114;324;20.57;0.0;optimal;115;0;20.813190637156367;20.813172825000038;224.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_25.lp;14768;18209;307.46;0.0;optimal;538;0;312.28336372971535;312.2595522280001;225.0;
