policy,seed,type,instance,nnodes,nlps,stime,gap,status,ndomchgs,ncutoffs,walltime,proctime,objval
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_1.lp,1,2,0.03,0.0,optimal,0,0,0.04146837815642357,0.04147012899999991,28.0
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_2.lp,1,8,0.12,0.0,optimal,0,0,0.11749615147709846,0.11749931800000013,25.0
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_3.lp,1,3,0.03,0.0,optimal,0,0,0.032749973237514496,0.03275289499999978,10.0
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_4.lp,1,2,0.05,0.0,optimal,0,0,0.04618091695010662,0.046184703999999854,23.0
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_5.lp,1,1,0.01,0.0,optimal,0,0,0.014737656340003014,0.014740757000000215,11.0
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_6.lp,1,26,0.24,0.0,optimal,0,0,0.2502306718379259,0.25022277299999995,17.0
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_7.lp,1,30,0.33,0.0,optimal,0,1,0.33159293606877327,0.33159497000000027,19.0
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_8.lp,1,37,0.35,0.0,optimal,0,1,0.36719902604818344,0.3672008440000001,30.0
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_9.lp,1,2,0.02,0.0,optimal,0,0,0.017137674614787102,0.017118776999999863,10.0
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_10.lp,1,1,0.02,0.0,optimal,0,0,0.015780150890350342,0.015782824999999612,32.0
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_11.lp,1,1,0.01,0.0,optimal,0,0,0.015744328498840332,0.01574736599999982,15.0
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_12.lp,1,1,0.02,0.0,optimal,0,0,0.01528991013765335,0.015292955000000052,25.0
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_13.lp,1,3,0.04,0.0,optimal,0,0,0.04073907621204853,0.04073660999999973,19.0
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_14.lp,1,5,0.05,0.0,optimal,0,0,0.050797777250409126,0.05079032200000011,24.0
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_15.lp,1,13,0.15,0.0,optimal,0,0,0.16004692763090134,0.1600504749999998,22.0
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_16.lp,1,5,0.06,0.0,optimal,0,0,0.05616477318108082,0.05616817999999979,24.0
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_17.lp,1,37,0.36,0.0,optimal,0,1,0.38466486148536205,0.3846672350000002,24.0
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_18.lp,1,7,0.11,0.0,optimal,0,0,0.10754525475203991,0.10754848900000002,22.999999999999993
